企業名,法人番号,採用中,発見媒体,求人件数,採用職種,取得日,根拠
株式会社ＩＤＯＭ,1010001069520,○,求人ボックス,25,中古車販売店での事務スタッフ／働くならガリバーで!事務スタッ/「入社祝い金50万円」業界を牽引する自動車買取／販売事業のチ/「店長確約／入社祝い金50万円」業界を牽引する自動車買取・販/ドライバー／大型ドライバー／洗車 週3日~OK 普通免許でO/「管理職／セールス」「年収事例800~1350万円」自動車業,2026-06-14,job-engine-hit
株式会社フェローテック,1010001075980,○,求人ボックス,17,年間休日125日／世界シェア7割を誇るスタンダード上場のグロ/「千葉工場 製造責任者管理職」世界シェア70%を誇る半導体成/「岡山工場 製造責任者管理職」世界シェア70%を誇る半導体成/「半導体製造装置部品の海外営業管理職」世界シェア70%を誇る/「情報システム部管理職」年間休日125日／世界シェア7割を誇,2026-06-14,job-engine-hit
株式会社アイ・ラーニング,1010001081896,○,求人ボックス,21,本社事務スタッフ/日本橋／法人向けPM研修企画開発アドバイザー／プリセールス／/サービス管理責任者／有資格者／障がい者施設／年休110日以上/東京／新卒向けIT研修企画 在宅可／フルフレックス／転勤なし/東京／法人向け研修営業 リモート可／フルフレックス／既存中心,2026-06-14,job-engine-hit
フロンティアコンストラクション＆パートナーズ株式会社,1010001083026,○,求人ボックス,5,週2日～OK!日給2万円／監理・監修業務／技量を活かせるスペ/キッチン・ホールスタッフ/建設工事の施工管理アシスタント/販売・サービス/設計監理など建設技術職,2026-06-14,job-engine-hit
株式会社ライトワークス,1010001084197,○,求人ボックス,23,現場作業員/要件定義担当／ソフトウェア／パッケージベンダ/システム開発エンジニア／ソフトウェア／パッケージベンダ/システム開発エンジニア/クラウドインフラエンジニア／ソフトウェア／パッケージベンダ,2026-06-14,job-engine-hit
株式会社トレードワークス,1010001085245,○,求人ボックス,20,React／TypeScript／ネット証券システムのフロン/PL／PM 「金融業界経験者歓迎・」／システムインテグレータ/フロントエンドエンジニア「金融ソリューション」／システムイン/赤坂・PM経験者向け／PM プレイング兼務／自社金融プロダク/フロントエンドエンジニア／システムインテグレータ・ソフトハウ,2026-06-14,job-engine-hit
日新興業株式会社,1120001057571,○,求人ボックス,11,大阪市／サービスエンジニア「未経験歓迎」 業界トップシェア／/建築・土木／建築・土木系／搬入・荷揚げ 社員になりたいを応援/「総合職 」賞与昨年実績6.4ヶ月」年休128日/防水工事の営業及び現場員/舗装工事の技能工,2026-06-14,job-engine-hit
日本インターシステムズ株式会社,1120001059320,,,,,2026-06-14,not-found
エイチ・ツー・オーリテイリング株式会社,1120001059683,○,求人ボックス,3,"時給1,360円 保育士資格を活かす／「川西市」企業内保育／/「スクラムマスタ​」関西を代表する小売を核とした生活産業グル/小規模 認可外保育園の保育士",2026-06-14,job-engine-hit
株式会社アイビックス関西,1120001059857,○,求人ボックス,3,早朝専属、商業施設の清掃・掃除機掛け／大阪府吹田市/美浜発電所／美浜原子力PRセンターでの正社員施設警備スタッフ/清掃業務スタッフ／大阪府大阪市西区,2026-06-14,job-engine-hit
