企業名,法人番号,従業員数,業種,都道府県
レーザーテック株式会社,1020001022180,479,,神奈川県横浜市港北区新横浜２丁目１０番地１
セントラルリーシングシステム株式会社,1430001024268,474,,北海道札幌市中央区大通西６丁目１０番地１
王子エンジニアリング株式会社,1010001039770,305,王子グループの技術統括業務並びに各種プラントの計画立案・設計・施工,東京都中央区銀座４丁目７番５号
東レプラスチック精工株式会社,1010001051932,362,,東京都中央区日本橋本石町４丁目６番７号
長野日産自動車株式会社,2100001002470,486,自動車販売及び整備,長野県長野市大字川合新田３６１６番地１
長野日野自動車株式会社,2100001002512,313,,長野県長野市川中島町上氷鉋５５３番地１
クリーンペア九州株式会社,3330001001291,451,病院等施設清掃・空調関係清掃・ホームユース鳥害対策,熊本県熊本市東区小山町２２１７番地１
イチカワ株式会社,1010001000708,523,抄紙用フエルト、抄紙用ベルトおよびスレート・その他工業用フエルトの製造、販売,東京都文京区本郷２丁目１４番１５号
日本紙パルプ商事株式会社,1010001034978,900,1.紙、パルプ、古紙の売買および輸出入 2.包装材料の売買および輸出入 3.燃料類の売買および輸出入 4.化成品、工業薬,東京都中央区勝どき３丁目１２番１号フォアフロントタワー
株式会社ＣＩＪ,1020001015606,807,システム開発およびシステム開発に関連するサービス,神奈川県横浜市西区高島１丁目２番５号
親和パッケージ株式会社,1140001001783,800,梱包業,兵庫県神戸市東灘区向洋町西６丁目１９番地
星和電機株式会社,1130001038463,613,情報表示システム、産業用照明機器、道路・トンネル照明機器、ノイズ対策製品、配線保護機材の製造販売,京都府城陽市寺田新池３６番地
株式会社第一ビルデイング,1010001065445,515,・不動産の賃貸 ・不動産の取得、所有および処分 ・不動産の管理および賃貸借の受託 ・不動産の仲介 ・不動産に関する企画・,東京都品川区大崎１丁目２番２号
株式会社ＹＤＫテクノロジーズ,1021001022880,729,環境計測事業 航海事業 航空・宇宙事業 燃焼事業 防衛事業,神奈川県秦野市曽屋５００番地
ＡＧＳ株式会社,2030001000011,800,情報処理サービス ソフトウェア開発 その他情報サービス システム機器販売,埼玉県さいたま市浦和区針ヶ谷４丁目３番２５号
協和ビル管理株式会社,2040001001784,608,建物の総合管理業務,千葉県千葉市中央区汐見丘町１６番１１号
鈴与商事株式会社,1080001002318,553,石油製品・LPG等のエネルギー販売、発電および電力の仕入・販売、エネルギーシステム機器の販売・施工・保守管理、太陽光発電,静岡県静岡市清水区入船町１１番１号
日精樹脂工業株式会社,1100001011530,535,射出成形機・金型・成形自動システム・計測機器等の開発、製造、販売,長野県埴科郡坂城町大字南条２１１０番地
株式会社タナカ,1050001010075,503,販促用印刷物の製造販売、木造住宅用接合金物の製造販売、選挙用公営ポスター掲示板の製造販売,茨城県土浦市藤沢３４９５番地１
商船三井ロジスティクス株式会社,1010001012546,321,,東京都千代田区内幸町１丁目２番２号
阪神警備保障株式会社,1120001031502,301,各種警備業務,大阪府大阪市住之江区中加賀屋３丁目５番９号
太陽管財株式会社,1030001005250,300,,埼玉県さいたま市北区日進町３丁目８番地
株式会社スマイル企画,1290001045015,300,,福岡県福岡市博多区綱場町７番１号ＦＯＲＣＡＳＴ博多呉服町９階
滋賀ダイハツ販売株式会社,1160001013406,437,,滋賀県栗東市大橋４丁目１番５号
イリソ電子工業株式会社,1020001053696,642,コネクタの開発、製造及び販売,神奈川県横浜市港北区新横浜２丁目１３番地８
ユー・エム・シー・エレクトロニクス株式会社,1030001044117,580,EMS(Electronics Manufacturing Service)企業として車載機器・ＯＡ機器から産業機器まで,埼玉県上尾市大字瓦葺７２１番地
株式会社マンダム,1120001090234,762,化粧品・香水の製造および販売 医薬部外品の製造および販売,大阪府大阪市中央区十二軒町５番１２号
ダイナパック株式会社,1180001037535,882,段ボール、印刷紙器、軟包装材および紙製緩衝材などの包装資材の製造、販売,愛知県名古屋市中区錦３丁目１４番１５号
株式会社ツツミ,2030001021115,878,宝飾品・貴金属製品の製造・卸売・小売業,埼玉県蕨市中央４丁目２４番２６号
セブン工業株式会社,1200001017170,509,集成材、住宅部材の製造販売及び付帯事業,岐阜県美濃加茂市牧野１００６番地
日本インシュレーション株式会社,1120001040610,400,保温断熱材・耐火建材の製造販売、施工,大阪府大阪市中央区南船場１丁目１８番１７号
株式会社関東甲信クボタ,1030001072877,563,,埼玉県さいたま市桜区西堀５丁目２番３６号
東北アルフレッサ株式会社,2380001005082,975,医薬品卸売業,福島県郡山市喜久田町卸１丁目４６番地１
日本ニューホランド株式会社,1430001021026,577,,北海道札幌市中央区北一条西１３丁目４番地
株式会社宮崎,1180001045546,807,再生資源卸売業,愛知県清須市西須ケ口９３番地
セントラル総業株式会社,1020001067993,538,,神奈川県川崎市中原区上小田中２丁目３番６号
日本高周波鋼業株式会社,1010001016852,507,,東京都千代田区岩本町１丁目１０番５号
日本山村硝子株式会社,1140001054947,750,,兵庫県尼崎市西向島町１５番１
ハリマ共和物産株式会社,1140001060846,863,日用雑貨卸売業、受託物流業,兵庫県姫路市飾東町庄３１３番地
日本環境クリアー株式会社,2030001006446,900,,埼玉県さいたま市大宮区桜木町１丁目１１番地９
三洋環境株式会社,1260001002712,700,,岡山県岡山市北区下伊福上町８番２０号
トヨタカローラ新茨城株式会社,1050001001867,384,・トヨタ系列の新車販売 ・各種中古車の販売 ・自動車用品販売 ・自動車点検・整備・板金塗装 ・保険代理店業務（損保・生保,茨城県水戸市水府町１５２２番地の１
石福金属興業株式会社,1010001010624,351,貴金属精製加工販売業,東京都千代田区内神田３丁目２０番７号
林兼エスト株式会社,1290001009738,338,石油製品の販売（小売・卸売）,福岡県福岡市中央区渡辺通４丁目１０番１０号
株式会社大伸,1140001013449,498,〔印刷紙工事業部〕 企画プランニングから、幅広い印刷までトータルに。 〔包装事業部〕 包装資材から製品包装、品質管理及,兵庫県神戸市兵庫区塚本通４丁目１番１９号
ＡＬＳＯＫ千葉株式会社,1040001008244,484,警備業,千葉県千葉市花見川区幕張本郷１丁目３番３３号
日本紙通商株式会社,1010001045983,385,○紙・板紙および紙・板紙関連製品の仕入販売 ○フィルムおよびフィルム関連製品の仕入販売 ○化学工業製品の仕入販売,東京都千代田区神田駿河台４丁目６番地
株式会社東洋経済新報社,1010001051874,327,デジタルメディア事業、雑誌事業、書籍事業、プロモーション事業、データ事業,東京都中央区日本橋本石町１丁目２番１号
