企業名,法人番号,従業員数,業種,都道府県
三和陸運株式会社,1290001020273,140,花き輸送、飼料運搬、一般貨物輸送,福岡県糸島市高祖１０２５番地２
株式会社鈴木東建,1430001011282,105,建設業,北海道札幌市西区八軒四条東５丁目１番４８号
丸水札幌中央水産株式会社,1430001023716,121,水産物卸売業（札幌市中央卸売市場）,北海道札幌市中央区北十二条西２０丁目２番１号
株式会社北海道ニッスイ,1430001037996,112,卸売業、水産加工業、冷蔵庫業,北海道札幌市西区二十四軒一条２丁目４番２５号
株式会社ＦＰコーポレーション,1430001040158,110,その他製造業,北海道札幌市東区北四十二条東１５丁目１番１号
野口リゾートマネジメント株式会社,1430001058043,143,宿泊業,北海道登別市登別温泉町２０３番地１
愛工業株式会社,1080001000024,150,プラスチック製品製造業,静岡県静岡市駿河区登呂６丁目２番５号
株式会社メガロ静岡,1080001008356,105,プラスチック部品射出成形,静岡県静岡市駿河区北丸子１丁目７番３０号
株式会社なすび,1080001008843,131,主に和食店を中心に静岡市内に13店舗、富士市に1店舗を展開。 その他海外事業として、アメリカ合衆国ハワイ州の和菓子店に資,静岡県静岡市清水区谷田８番２号
株式会社リカバリー,1080001012416,149,障害者総合支援法・児童福祉法に基づく、就労継続支援事業及び放課後等デイサービス【リカバリー】の運営・管理,静岡県藤枝市末広２丁目８番１７
株式会社イワサキ経営,1080101002531,116,経営コンサルタント業　他付随業務,静岡県沼津市大岡９８４番地の１
安全ガード株式会社,1080101006838,128,警備業,静岡県駿東郡長泉町下土狩１０９８番地の８
四国パック株式会社,1080101010617,131,紙容器製造,静岡県富士市大渕４２２６番地２
株式会社カネトモ,1080001014718,148,１．生鮮・冷凍マグロの卸売 ２．マグロの冷凍加工 ３．倉庫運輸業,静岡県藤枝市平島６９８番地の１
株式会社うなぎ藤田浜松店,1080401000664,100,うなぎ料理専門店,静岡県浜松市中央区小豆餅３丁目２１番１２号
日産部品山陽販売株式会社,1240001008538,130,自動車部品の卸売業,広島県広島市安佐南区長束４丁目１９番７号
広島荷役株式会社,1240001009544,105,１．港湾運送事業 ２．港湾運送関連事業 ３．一般区域貨物自動車運送事業 ４．通関業,広島県広島市南区宇品海岸２丁目２３番２７号
広島プラスチック株式会社,1240001022662,109,プラスチック製品製造販売,広島県東広島市八本松町米満字小丸山１０１１８番地１
株式会社いでしたケアサービス,1240001020781,130,株式会社いでしたケアサービスは、広島県広島市を中心に通所介護事業所・居宅介護支援事業所を運営しております。「お客様の笑顔,広島県広島市中区紙屋町１丁目１番２０号いよぎん広島ビル５０３
山陽マシン株式会社,1240001033016,121,各種工作機械の製造・販売,広島県福山市今津町大明神１１２番地の２
株式会社帝産キャブ仙台,1370001005596,110,タクシー業,宮城県仙台市宮城野区扇町３丁目９番１１号
株式会社深松組,1370001010035,119,建設業,宮城県仙台市青葉区荒巻本沢２丁目１８番１号
株式会社プラス・アルトラ,1370001013401,138,美容室経営,宮城県仙台市青葉区本町１丁目９番２号
株式会社若柳タムラ製作所,1370201003037,123,電子部品・デバイス・電子回路製造業,宮城県栗原市若柳字川南上堤４０番地の１
株式会社緒方製作所,1370201000075,136,電機器具部品の製造販売等,宮城県大崎市田尻字町尻１５番地の１
株式会社阿部善商店,1370601000030,111,食品製造・販売,宮城県塩竈市中の島１番１１号
株式会社愛工大興,2013301006753,134,電力・電気 送電線の建設工事と屋内電気設備工事を中心に事業を展開。電気を地域の皆様のもとに届けるための送電線の設置や建物,宮城県仙台市若林区卸町３丁目３番地の１３
株式会社三ツ葉パーツ,1110001008344,105,自動車部品・用品の卸売業,新潟県新潟市西蒲区潟頭４４７番地３
菊水酒造株式会社,1110001012552,127,清酒製造業,新潟県新発田市島潟７５０番地
株式会社飯塚鉄工所,1110001017147,131,金属部品加工製造業,新潟県柏崎市半田３丁目１５番１６号
山崎工業株式会社,1110001017650,131,精密プレス加工金型製造、プレス量産加工,新潟県柏崎市大字上田尻３５６９番地１
ダイエープロビス株式会社,1110001022741,118,総合建設業 建築工事一式、土木工事一式 宅地建物取引業、一級建築士事務所,新潟県長岡市宝４丁目２番地２５
株式会社国土,2110001000044,129,橋梁架設、橋梁撤去、大型クレーンリース、重量物・長尺物輸送,新潟県新潟市西区善久１０６８番地１
株式会社萩田換地,1110001027666,110,不動産業、建設業、飲食業,新潟県佐渡市東大通１２２０番地７
株式会社ＡＮＸ,1100001009475,130,情報処理サービス業,長野県上田市下之郷８１３番地１１
信越電線株式会社,1100001009806,131,マグネットワイヤーの製造及び販売,長野県上田市常田１丁目１番４０号
株式会社カヤマ,1100001011472,111,自動車部品の切削加工（主にカーエアコンコンプレッサー部品）,長野県埴科郡坂城町大字坂城４４８７番地１
株式会社大成,1100001021281,125,馬刺し製造販売,長野県上伊那郡飯島町田切１２１２番地４００
中央アルプス観光株式会社,1100001021298,122,索道旅客運輸業,長野県駒ヶ根市赤穂７５９番地４８９
株式会社天龍,1100001022593,101,株式会社 天龍では、炭素繊維・グラス繊維の研究開発をし、そのノウハウを生かした釣竿・ゴルフシャフトなどの製造・製品化を行,長野県飯田市長野原７００番地４２
株式会社諏訪三社電機,1100001029622,140,電源装置等の電子機器の製造・販売,長野県茅野市豊平５３３５番地
株式会社ヨシケイ岐阜,1200001012675,107,夕食の献立提案と献立に合わせた材料セットの販売宅配,岐阜県関市戸田５６番地１
高安株式会社,1200001007238,138,再生ポリエステル短繊維の製造販売、再生ナイロン樹脂（原料）の製造・販売、不織布の製造販売 合成繊維原料の販売　荷資材回,岐阜県各務原市蘇原村雨町３丁目４７番地
亀山建設株式会社,1200001019051,101,寺院建築の設計施工を主する建設業,岐阜県関市稲口１０３７番地
新東海ダイカスト工業株式会社,1200001019778,135,軽合金鋳造の事業,岐阜県関市千疋１０６１番地１
株式会社タカコム,1200001022121,145,情報通信機械器具の開発、製造、販売,岐阜県土岐市下石町字西山３０４番地７０９
恵那ダンボール株式会社,1200001023664,100,,岐阜県恵那市長島町中野７９１番地の１
内藤電機株式会社,2200001003806,150,学校・病院・公共施設から店舗・住宅・工場まで幅広い 分野の総合電気工事の設計・施工を行っております。 また、光通信やモバ,岐阜県岐阜市都通２丁目１６番地
日建ヘルスメディカル株式会社,2200001006180,100,訪問介護 訪問看護 小規模多機能型居宅介護支援 居宅介護支援事業 福祉用具レンタル・販売、および福祉住宅改修事業 保険代,岐阜県岐阜市今町４丁目２２番地
株式会社ビルマネージメント,1290001025818,251,ビルメンテナンス,福岡県福岡市博多区東光２丁目３番２０号
阪神園芸株式会社,1140001070003,263,造園工事業 緑地管理業 運動場の整備・設計・施工 公園等の指定管理業務,兵庫県西宮市甲子園浦風町１６番２４号
アインズ株式会社,2160001010617,260,印刷・同関連業,滋賀県蒲生郡竜王町鏡２２９１番地３
株式会社山陽セフティ,1260001002654,278,警備業 （施設警備、機械警備、イベント警備）,岡山県岡山市北区西長瀬１２０６番地７
株式会社ビック,2380001017771,276,総合ビル管理・警備,福島県会津若松市城東町１４番５１号ラフィーネ城東１Ｆ
株式会社オーヤラツクス,1010001013305,177,医薬品製造販売業,東京都千代田区麹町１丁目６番地２
日本設備管理株式会社,1040001066176,196,ビルメンテナンス業,千葉県柏市高田１３７６番地
株式会社鈴勇商店,1370301000702,178,ステンレス・特殊金属全般・製鋼原料 金属製品製造業(再生資源処理加工業),宮城県石巻市鹿又字山下西１２２番地１
糸魚川二幸株式会社,1110001021875,177,ビルメンテナンス業,新潟県糸魚川市押上２丁目１４番１３号
株式会社クラウン警備保障,1190001010920,180,機械警備業務、ホームセキュリティサービス、施設警備業務、交通誘導警備業務、雑踏警備業務、保安警備業務,三重県松阪市久保町１８５５番地５０３
中島硝子工業株式会社,1260001018295,217,機能ガラス製造販売,岡山県井原市木之子町５３０１番地の２
愛知株式会社,1180001015879,219,,愛知県名古屋市東区筒井３丁目２７番２５号
日本検査キューエイ株式会社,1010001062013,200,,東京都中央区入船２丁目１番１号
日本製紙石巻テクノ株式会社,1370301000974,162,電装事業部・機械事業部・建設事業部と3事業部制を採用し、紙パルプ・紙加工プラントにとどまらず、あらゆる製造施設を対象とし,宮城県石巻市南光町２丁目２番１１号
東京法令出版株式会社,1100001002125,204,,長野県長野市南千歳町１００５番地
百五ビジネスサービス株式会社,1190001000896,175,その他事業サービス業,三重県津市本町３３番２１号
株式会社ナンシン,1010001053053,169,キャスター、台車等製造販売,東京都中央区日本橋人形町１丁目１７番４号
株式会社一六堂,1010001065395,270,飲食店の経営,東京都中央区八重洲１丁目６番１号ＴＯＦＲＯＭ・ＹＡＥＳＵ・ＴＯＷＥＲ９階
株式会社廣瀨,1110001000103,194,土木事業・建築事業・不動産事業・測量業・産業用太陽光発電事業,新潟県新潟市西区善久８２３番地
高島産業株式会社,1100001018476,232,精密部品加工、デスクトップ型加工機械、各種自動化装置の設計製作、半導体加工、医療機器開発製造,長野県茅野市金沢５６９５番地６
株式会社青山メインランド,1010001008998,183,不動産販売業,東京都千代田区内神田１丁目７番６号北大手町ビル
東海物産株式会社,1010001024070,188,業務用調味料・食品添加物の製造加工販売,東京都千代田区岩本町１丁目１０番５号
株式会社プリンストン,1010001028443,155,コンピューター周辺機器製造・輸入・販売 デジタル会議システムの販売,東京都港区新橋４丁目２１番３号
株式会社不二レーベル,1030001024936,158,ラベル・ラベラーの製造及び販売,大阪府大阪市天王寺区上汐６丁目４番１７号
日本紙管工業株式会社,1120001001389,159,各種産業用紙管の製造及び販売,大阪府大阪市旭区大宮１丁目１１番３号
山口金属曲板工業株式会社,1120001021940,180,金属製品製造,大阪府大阪市阿倍野区阪南町５丁目２３番１５号
大銑産業株式会社,1120001044933,151,鋳物・建設・土木・化学品・燃料・鉄鋼などの各種素材の販売、建設工事の請負、設計、施工管理ならびに倉庫業などを行う,大阪府大阪市中央区今橋２丁目１番１０号
株式会社国盛化学,1180001010178,201,プラスチック製品製造,愛知県名古屋市瑞穂区下坂町２丁目３６番地
株式会社高津製作所,1180001006754,242,機械器具製造業,愛知県名古屋市中区錦３丁目４番６号
山田工業株式会社,1180001021217,173,金属家具製造販売,愛知県名古屋市中村区竹橋町９番９号
コムワークスエンジニアリング株式会社,1180001026075,161,パイプライン設計、測量・調査、情報処理,愛知県名古屋市昭和区白金３丁目１９番１５号
中設エンジ株式会社,1180001031273,229,建築工事、設備工事、機器装置の設置工事、その他建設工事全般に関する企画、設計、監理、施工、保守、エンジニアリング、マネジ,愛知県名古屋市西区牛島町６番１号名古屋ルーセントタワー３７階
株式会社グリーンメッセージ,1012401024856,163,カット野菜製造,神奈川県大和市下鶴間２４１５
湘南交通株式会社,1020001004022,211,一般乗用旅客自動車運送事業（タクシー事業）,神奈川県横浜市港南区丸山台１丁目６番３号
株式会社横浜食品サービス,1020001006943,220,大手量販店向け食品の卸売・加工販売,神奈川県横浜市金沢区鳥浜町１番１
ブリーズベイホテル株式会社,1020001050009,190,ホテル業,神奈川県横浜市中区花咲町１丁目２２番地２
株式会社キッズフォレ,1020001049133,175,保育園,神奈川県横浜市都筑区中川中央１丁目２１番７号
オートコムジャパン株式会社,1020001052483,191,中古自動車の輸出販売業務,神奈川県横浜市中区本町２丁目１４番地
藤工業株式会社,1011601007902,190,建築用金属製品（鉄筋）の加工 建設設計請負施工,埼玉県さいたま市岩槻区古ケ場２丁目７番１号
株式会社ホビーベースイエローサブマリン,1030001007742,204,模型玩具、カードゲーム、ボードゲーム等の小売業,埼玉県さいたま市北区日進町３丁目７２５番地３
株式会社アペックエンジニアリング,1030001015274,185,空気調和 / 給排水衛生 / 防災 / 電気 / 建築 / 保守・メンテナンス / リニューアル / ESCO事業などの,埼玉県さいたま市大宮区桜木町１丁目９番地１
株式会社ＫＮＤコーポレーション,1030001020142,154,運送業（住設機器・建材の配送）、建設業（建て方工事・建材の加工）、外国人材（実習生）への教育、高度外国人材採用のコンサル,埼玉県戸田市笹目６丁目２４番地の１０
株式会社ホンダカーズ埼玉西,1030001026610,158,自動車の販売及び整備,埼玉県狭山市大字上奥富１０６番地１
関東電設株式会社,1030001054586,154,警備業,埼玉県川越市大字天沼新田３１９番地６
株式会社ＢＭＬメディカルワークス,1030001058117,205,治験用容器キットの作製,埼玉県川越市大字的場１５９０番地１
吉野電化工業株式会社,1030001064965,220,表面処理加工業【硬質クロムめっき、亜鉛合金めっき、電気（樹脂）めっき、ＥＭＩシールドめっき、他】,埼玉県越谷市越ヶ谷５丁目１番１９号
千葉県酒類販売株式会社,1040001004623,180,酒類・食品綜合卸,千葉県千葉市中央区要町５番７号
株式会社プロエイム,1040001013112,184,人材派遣業 建築事業 戸建て住宅販売,千葉県千葉市中央区本千葉町１番１号日土地千葉中央ビル９Ｆ
株式会社舞浜倶楽部,1040001028829,177,介護サービス事業,千葉県浦安市高洲１丁目２番１号
株式会社川和,1040001037961,156,食品容器・包装資材の販売。 印刷業（広告の企画・制作・販促支援）チラシ作成・Ｗｅｂ・ＨＰモバイル販促等の綜合販促サービス,千葉県流山市西初石３丁目９番地の１０
プライミクス株式会社,1120001035800,171,・液体、粉粒体の乳化、分散、混練、微粒化機器の製造、販売とシステムエンジニアリング ・乳化、分散に関するハードとソフトの,兵庫県淡路市夢舞台１番３８
内外ゴム株式会社,1140001009744,242,ゴム製品製造業,兵庫県神戸市中央区栄町通４丁目１番１０号
株式会社共進牧場,1140001007161,154,牛乳・乳製品の製造・販売,兵庫県神戸市中央区橘通１丁目２番１２号
九州製鋼株式会社,1290001000011,187,鋼片・鋳鋼用溶鋼及び鉄筋コンクリート用棒鋼の製造及び販売,福岡県糟屋郡久山町大字久原字原２９２０番地
豊運輸株式会社,1290001000044,209,一般貨物運送事業,福岡県糟屋郡久山町大字久原２９０４番地２
西鉄エンジニアリング株式会社,1290001009515,195,鉄軌道車両定期検査、修理 鉄軌道車両改造の設計、施工 鉄軌道車両用品販売 保線器具修理（タイタンパー、ボルト緊解器、その,福岡県福岡市南区大橋２丁目１０番３号
株式会社エヌ・ティ・ティ・データＮＣＢ,1290001005555,167,事業内容 １．銀行システムのアウトソーシングサービス ２．金融系システムの開発 ３．各種銀行システムソリューション,福岡県福岡市博多区博多駅前１丁目１７番２１号ＮＴＴＤＡＴＡ博多駅前ビル
ハッピーハウス株式会社,1290001015827,180,賃貸住宅管理業・宅地建物取引業,福岡県福岡市博多区住吉４丁目３番２号
福岡地所株式会社,1290001016156,200,1. 不動産の売買、賃貸、仲介、管理 2.都市計画、都市開発、地域開発 3. 住宅の建設、販売、賃貸 など,福岡県福岡市博多区住吉１丁目２番２５号
株式会社まごころ,1430001033855,172,デイサービス、訪問看護、居宅介護支援、高齢者住宅紹介、技術指導や整骨院・デイサービス運営のコンサルティング,北海道札幌市西区平和二条３丁目３番６８号
石上車輌株式会社,1430001043417,200,自動車中古部品販売業,北海道恵庭市下島松８０１番地３
静岡ミツウロコフーズ株式会社,1080001008397,200,飲料委託製造販売,静岡県静岡市清水区庵原町３４番地の１
株式会社ホテルサンバレー,1080101005006,160,ホテル・旅館経営,静岡県伊豆の国市長岡６５９番地
太陽工業株式会社,1240001006145,153,運輸、鋼材販売、機械部品加工,広島県広島市中区江波南２丁目１５番１７号
株式会社藤伸,1240001007498,210,一般貨物自動車運送事業,広島県広島市佐伯区五日市港４丁目２番１号
八洲制御システム株式会社,1240001003183,187,各種制御盤製造,広島県広島市安佐北区深川８丁目２番３７号
西川物産株式会社,1240001008331,182,１）ゴム成型金型製造販売 ２）ゴム加工等の化成品、産業資材　製造販売 ３）自動車部品、建機、土木関連製品の製造販売,広島県広島市安佐南区山本２丁目１番２７号
広島精研工業株式会社,1240001022654,173,自動車用部品製造,広島県東広島市高屋台１丁目４番７号
麒麟倉庫株式会社,1240001036290,187,,広島県広島市安芸区中野東１丁目７番１号
松本重工業株式会社,1240001026812,242,自動車部品の製造,広島県呉市音戸町波多見１丁目３４番２８号
ケイテック株式会社,1010401182006,214,電子機器の設計、試作、生産、サービス役務提供全般,宮城県加美郡加美町字雁原３２５番地
株式会社ＬＪＰ,1370001015868,168,一般貨物自動車運送事業,宮城県仙台市宮城野区日の出町３丁目３番１０
株式会社スカイパレスアソシエイツ,1370001015661,164,結婚式場・ゲストハウス・チャペルの経営、貸衣装店の経営、ブライダルに付随する企画・立案・運営,宮城県仙台市宮城野区榴岡４丁目６番１号東武仙台第１ビル３Ｆ
東日本リフトサービス株式会社,1370601000674,215,●フォークリフト持込での荷役作業の請負 ●フォークリフトの新車中古車販売・リース・レンタル・法定年次検査・修理 ※フォ,宮城県塩竈市新浜町３丁目６番８号
マルタスギヨ株式会社,1110001007288,249,食料品製造,新潟県新潟市秋葉区小須戸３８５２番地
平安セレモニー株式会社,1110001019382,178,冠婚葬祭業,新潟県上越市高土町３丁目９番１２号
株式会社エム・エー・シー．テクノロジー,1110001019928,153,・半導体製造装置販売 ・半導体、液晶製造工程の付帯設備及び消耗パーツの販売 ・半導体製造装置請負メンテナンス及びパーツ洗,新潟県上越市大字上中田１１７８番地
株式会社ロン・リバイス,1110001024374,174,繊維製、織物の検品加工 労働者派遣法に基づく労働者派遣事業,新潟県長岡市東町１番１１号
株式会社アドヴァンス,2110001001100,177,１．土木建築用資材の企画開発及び製造・販売及びそれらに関わる設計業務 ２．型枠リース事業 ３．土木工事業 ４．その他,新潟県新潟市中央区川岸町３丁目１７番地２２
大平洋特殊鋳造株式会社,2010001021802,230,,新潟県上越市港町２丁目２５番１号
株式会社熊谷,2110001001744,203,・プラスチックス包装資材製造販売 ・プラスチックス原料、成型品販売 ・プラスチックス包装機械、加工機械販売,新潟県新潟市中央区東大通２丁目３番１０号
長野興農株式会社,1100001002257,177,,長野県長野市差出南１丁目１１番１号
株式会社ライフケア,1100001004633,210,介護施設の運営、訪問サービスによる在宅支援、児童福祉事業,長野県長野市大字栗田２００９番地
鈴与マタイ株式会社,1100001007347,184,包装資材事業部 クラフト紙袋の設計・製造・販売等 商事事業部 金属製品の委託製造・販売等 環境エネルギー事業部 太陽,長野県佐久市中込１丁目１０番地１
三協精密株式会社,1100001015382,245,プラスチック部品製造業,長野県安曇野市明科光５８２番地
株式会社ハイライト,1100001018591,160,製造業　めっき,長野県茅野市豊平１５２８番地
ミサワホーム甲信株式会社,1100001024904,199,1.住宅の建築工事請負ならびに設計監理 2.住宅の分譲販売ならびに不動産の販売・仲介および管理 3.店舗、ビル、倉庫等の,長野県松本市双葉２２番１号
株式会社サンエイ,1100001024631,159,パチンコホール、飲食店経営,長野県長野市大字安茂里１７９３番１
株式会社ヨロズサステナブルマニュファクチャリングセンター（閉鎖）,1180001055933,202,自動車部品製造業,岐阜県安八郡輪之内町楡俣字一色１４６５番地１
エム・ティ・ケー株式会社,1200001000688,216,●磨棒鋼、センターレス研磨加工、切削部品等の製造・販売 ●建築用鋼製下地材（天井・壁）、コンクリートセパレーター、,岐阜県岐阜市六条江東１丁目１６番５号
三菱電機ホームエレベーター株式会社,1200001019753,221,ホームエレベーター、小規模建物用小型エレベーター、小規模共同住宅用エレベーターの開発・設計・生産・販売・取付,岐阜県美濃市楓台３８番地
株式会社松永製作所,1200001015083,180,車椅子製造販売,岐阜県養老郡養老町大場４８４番地
株式会社岐阜セラツク製造所,2200001001371,168,セラック製造 植物からの機能性成分の抽出・精製 機能性合成樹脂及び精密分散品の製造,岐阜県岐阜市加納西丸町１丁目２７番地
株式会社ヤマニパッケージ,2200001005645,175,包装資材企画・デザイン・販売,岐阜県岐阜市清本町２丁目４４番地
岐阜精機工業株式会社,2200001001297,165,金型及び付属商品の設計・製造販売,岐阜県岐阜市六条南１丁目９番６号
株式会社津松菱,1190001000698,171,各種商品小売業(百貨店),三重県津市東丸之内４番１０号
株式会社賢島宝生苑,1190001008139,200,旅館及び飲食店の経営,三重県志摩市阿児町神明７１８番地の３
住友商事フィナンシャルマネジメント株式会社,1010001012059,294,住友商事及び住友商事グループの外国為替、出納関連の財務業務、並びに、経理業務全般の受託を中心にプロフェッショナルサービス,東京都千代田区大手町２丁目３番２号
株式会社エッサム,1010001012182,258,会計事務所向け事務用品および財務・税務システムの製造・開発・販売など,東京都千代田区神田須田町１丁目２６番３号
常磐共同火力株式会社,1010001024491,273,電気業,東京都千代田区神田須田町１丁目１番地
ドギーマンハヤシ株式会社,1120001013062,264,ペット食品・用品の製造・販売及び輸出入,大阪府大阪市東成区深江南１丁目１６番１４号
山下印刷紙器株式会社,1120001026923,262,紙加工品製造業,大阪府大阪市此花区西九条４丁目５番１８号
カメヤマ株式会社,1120001032418,266,ローソク、線香等製造販売,大阪府大阪市北区大淀中２丁目９番１１号
布目電機株式会社,1180001020581,260,・変圧器・リアクトルの 開発、設計、製造、販売 ・海外規格適合制御パネルの開発、設計、製造、販売,愛知県名古屋市中川区大当郎２丁目１１０７番地
株式会社メディプラス,1010001224562,264,訪問看護事業 居宅介護支援事業,神奈川県横浜市西区みなとみらい２丁目３番５号クイーンズタワーＣ棟８階
株式会社こうゆう,1030001002669,291,花まる学習会（学習塾）、スクールＦＣ（進学塾）、個別学習指導、療育支援、野外体験教室、教育講演会、教材開発・出版、公教育,埼玉県さいたま市浦和区常盤９丁目１９番１０号
ウイズユー株式会社,1040001048901,270,介護事業,千葉県八千代市勝田台４丁目１３番地７
双葉メンテナンス工業株式会社,1130001018671,293,建築物清掃業 建築物飲料水貯水槽清掃業 主に京都、大阪の地で上記事業登録の元、環境衛生サービス、ホスピタルメンテナンス、,京都府京都市下京区七条御所ノ内本町６番地２
株式会社はーとふるセゾン,1130001024109,254,介護サービス事業,京都府京都市上京区河原町通今出川下る２丁目栄町３６４番地
株式会社サン・ライフ,1290001013517,252,建設業 総合ビル管理,福岡県福岡市博多区住吉１丁目２番２５号
株式会社ホテルオークラ福岡,1290001016643,261,ホテルの経営並びにこれに付随関連する事業,福岡県福岡市博多区下川端町３番２号
日清紡マイクロデバイス福岡株式会社,1290001022773,272,半導体（ＩＣ／ＬＳＩ）の製造及び販売,福岡県福岡市西区今宿東１丁目１番２号
株式会社ニッパ,1010001245419,273,輸送機器部品製造販売,静岡県磐田市川袋１５５０番地
ミツイコーポレーション株式会社,1080001005097,266,美容専売商社,静岡県静岡市葵区千代田６丁目１６番２号
明和運送株式会社,1240001011707,255,一般貨物自動車運送事業 自動車運送取扱事業,広島県広島市南区出島２丁目１番２６号
柿原工業株式会社,1240001030228,269,輸送用機械器具製造業,広島県福山市箕沖町９９番地の１３
株式会社誠和,1240001038196,294,"ビル管理、清掃、不動産管理、広島県県営及び尾道市市営住宅指定管理者、JR事業、福祉事業 資本金：20,000千円 設立：",広島県尾道市新浜１丁目１４番１１号
長野県交通警備株式会社,1100001002265,257,警備業,長野県小諸市大字柏木１５番地６
株式会社光製作所,1200001011421,274,航空機・宇宙機器等の部分品を製造 自動車・輸送機器等の部分品を製造,岐阜県羽島郡笠松町中野２４８番地の３
因幡電機産業株式会社,1120001041352,1941,電設・電子・情報機器販売及び空調システム部材の製造・販売,大阪府大阪市西区立売堀４丁目１１番１４号
ＳＧシステム株式会社,2130001010677,3376,・情報システムに関する企画、設計、開発、保守、運用業務 ・労働者派遣事業 ・情報処理機器、事務用機械および工業用機械類の,京都府京都市南区上鳥羽角田町２５番地
株式会社アペックス,1180001092373,1319,自動販売機による飲料等販売（飲料自販機オペレーター） 行動計画については、グループ内下記の会社にて適用。 ・株式会社ア,愛知県大府市柊山町２丁目４１８番地
積水化学工業株式会社,1120001059650,4062,樹脂加工製品の製造、販売,大阪府大阪市北区西天満２丁目４番４号
レンゴー株式会社,1120001036880,4711,板紙、段ボール・段ボール箱、軟包装製品等の製造・販売,大阪府大阪市福島区大開４丁目１番１８６号
株式会社ニッスイ,1010001016860,1505,世界中の水産資源へのアクセスを通じ、漁業、養殖生産、加工による「水産品」の販売、冷凍食品、缶詰、フィッシュソーセージ等の,東京都港区西新橋１丁目３番１号
株式会社スズケン,1180001017009,3409,医療用医薬品、試薬、医療用機器、医療材料、食品などの販売、ならびに医療用機器の開発製造,愛知県名古屋市東区東片端町８番地
敷島製パン株式会社,1180001016877,5565,パン、和洋菓子の製造、販売,愛知県名古屋市東区白壁５丁目３番地
株式会社ＥＶＥＲＹＦＯＯＤ,1180001001037,9967,集団給食,愛知県名古屋市中区千代田５丁目７番５号
川崎重工業株式会社,1140001005719,14805,輸送用機器の製造、販売,兵庫県神戸市中央区東川崎町３丁目１番１号
西川株式会社,1010001053631,1200,●寝具、寝装品、インテリア用品、ベビー用品等の製造卸売業 ●健康機器の製造卸売業 ●宝石、貴金属の卸売業 ●家具、室内装,東京都中央区日本橋富沢町８番８号
株式会社ＮＴＴドコモ,1010001067912,13896,携帯電話事業を主な事業とし、その主要な営業種目は次のとおりです。 ■通信事業 携帯電話サービス（５G サービス、LTE,東京都千代田区永田町２丁目１１番１号
ＴＯＴＯ株式会社,1290801002603,9463,建築用設備機器の製造・販売,福岡県北九州市小倉北区中島２丁目１番１号
濱田重工株式会社,1290801003064,2038,鉄鋼事業、エンジニアリング事業、半導体事業,福岡県北九州市戸畑区牧山１丁目１番３６号
株式会社ムトウ,2430001016743,2000,医療機器販売,北海道札幌市北区北十一条西４丁目１番１５号
イオンリテール株式会社,2040001000456,114984,総合小売業,千葉県千葉市美浜区中瀬１丁目５番地１
株式会社セブン－イレブン・ジャパン,1010001088181,8064,コンビニエンスストアのフランチャイズチェーン本部,東京都千代田区二番町８番地８
ヤマト運輸株式会社,1010001092605,158295,宅急便を中心とした一般消費者・企業向け小口貨物輸送サービス事業、その他物流事業全般および関連事業,東京都中央区銀座２丁目１６番１０号
テプコ・ソリューション・アドバンス株式会社,1010001086672,2352,"情報処理サービス事業、電気等の売買,供給",東京都港区芝３丁目２番１８号
株式会社日新アセットマネジメント,2020001028235,1523,総合物流業,神奈川県横浜市中区尾上町６丁目８１番地
キッセイ薬品工業株式会社,1100001012982,1500,医療用医薬品の研究・開発・製造・販売 特別用途食品等の開発・販売,長野県松本市芳野１９番４８号
株式会社マイスティア,2330001009286,1750,製造装置・精密機械の企画開発～製造販売 精密機械等のメンテナス・フィールドサービス 組込みIoTシステム及び周辺機器の企,熊本県合志市福原１番地３５
株式会社ヒライ,2330001009088,1738,,熊本県熊本市西区春日７丁目２６番７０号
中部電力パワーグリッド株式会社,1180001135974,11451,一般送配電事業　など,愛知県名古屋市東区東新町１番地
株式会社アオキスーパー,1180001029202,3775,食料品小売業 スーパーマーケットチェーン,愛知県名古屋市中村区鳥居西通１丁目１番地
オークマ株式会社,1180001081319,2304,工作機械の製造・販売,愛知県丹羽郡大口町下小口５丁目２５番地の１
株式会社今仙電機製作所,1180001080700,1669,自動車部品およびその他の輸送用機械器具部品の製造販売,愛知県犬山市字柿畑１番地
株式会社メイテックグループホールディングス,1180001027412,8345,エンジニアリングソリューション事業,神奈川県厚木市森の里青山１５番１号
日本飛行機株式会社,1020001006613,1271,輸送用機器具製造業　及び　航空機整備・改修・改造,神奈川県横浜市金沢区昭和町３１７５番地
埼玉トヨペット株式会社,1030001003329,1642,,埼玉県さいたま市中央区上落合２丁目２番１号
フロンティアコンストラクション＆パートナーズ株式会社,1010001083026,1160,建設コンサルティング,東京都港区東新橋１丁目５番２号
日鉄物流株式会社,1010001098619,6518,海上輸送 自動車輸送 港湾物流 構内物流（工場内物流）,東京都中央区日本橋１丁目１３番１号
同和興業株式会社,1370001009416,1515,ビルメンテナンス業,宮城県仙台市青葉区一番町４丁目６番１号仙台第一生命タワービルディング
株式会社内田洋行,1010001034730,1319,【公共関連事業】 学校教育市場への教育機器・教材・コンテンツの製造・販売、ICTシステムの構築、学校空間デザイン・家具販,東京都中央区新川２丁目４番７号
ウシオ電機株式会社,1010001008651,1677,光応用製品事業ならびに産業機械およびその他事業,東京都港区三田３丁目５番１９号住友不動産東京三田ガーデンタワー３１階
