企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
株式会社レタス,1120001092346,受託ソフトウェア開発,大阪府大阪市中央区北浜２丁目５番２３号,52,1998,,松尾哲郎,https://www.letus.co.jp/
株式会社ウィル・インターナショナル,1120001094367,人材派遣業,大阪府大阪市北区堂島２丁目３番７号,250,2000,,井上明,
大阪有機化学工業株式会社,1120001093014,有機化学工業品・有機試薬品・医農薬中間体・石油化学製品・特殊ポリマーの製造販売、溶剤類の精製加工,大阪府大阪市中央区安土町１丁目８番１５号,467,,,安藤昌幸,http://www.ooc.co.jp/
株式会社タスクフォース,1120001098013,人材派遣業,大阪府大阪市北区梅田１丁目１２番１２号東京建物梅田ビル１４階,920,2001,,鳴川光平,
株式会社イオシス,1120001098434,,大阪府大阪市中央区博労町３丁目５番１号,138,1998,,中本直樹,
株式会社イチネン,1120001097972,自動車リース・メンテナンス・燃料販売事業,大阪府大阪市淀川区西中島４丁目１０番６号,302,2001,,黒田勝彦,http://www.ichinen.co.jp/
株式会社中日総合サービス,1180001037956,新聞折込広告の企画・制作、配布等一切の業務,愛知県名古屋市中区栄４丁目１４番５号松下中日ビル５階,102,1982,,古賀智宏,
ダイナパック株式会社,1180001037535,段ボール、印刷紙器、軟包装材および紙製緩衝材などの包装資材の製造、販売,愛知県名古屋市中区錦３丁目１４番１５号,882,,,齊藤光次,https://www.dynapac-gr.co.jp/csr/employees/index.html#LINK-C
株式会社ＦＯＶＡテック,1180001038459,OA機器販売、メンテナンス,愛知県名古屋市中区大井町４番１９号,200,1960,,杉本全隆,
富士ビジネス・マシンズ株式会社,1180001040299,事務用品および事務機器の販売,愛知県名古屋市中区千代田４丁目１３番２４号,53,1966,,林浩一郎,
株式会社ティーファス,1180001038566,"●総合ビル管理業
ビル総合管理／施設の建物管理・設備保守管理／環境衛生管理（空気環境測定・害虫駆除など）
清掃管理／抗菌",愛知県名古屋市中区錦３丁目２０番２７号,252,1987,,長島耕治,http://www.tfas.co.jp
株式会社エースベーキング,1180001045182,,愛知県清須市春日社子地６２番地,102,1965,,吉田昌容始,
株式会社宮崎,1180001045546,再生資源卸売業,愛知県清須市西須ケ口９３番地,807,1969,,梅田慎吾,
中央紙器工業株式会社,1180001045224,段ボール製造業,愛知県清須市春日宮重町３６３番地,186,,,山下雅司,http://www.mcpack.co.jp/
株式会社ＯＪＴソリューションズ,1180001051222,,愛知県名古屋市中区錦２丁目３番４号,110,2002,,山本正裕,
株式会社アビリブ,1180001056163,ＷＥＢ制作事業、システム開発事業、ＡＳＰ（予約システム）事業、モバイルソリューション事業、ＷＥＢコンサルティング事業他,愛知県名古屋市中区栄５丁目２８番１２号名古屋若宮ビル１１階,168,1999,,的場弘明,http://www.ab-net.co.jp/
ＮＤＳインフォス株式会社,1180001056171,"◆ビジネスアプリケーション開発
　お客様のビジネスフローに最適なシステム企画、開発
◆組込系ソフトウェア開発
　自動車系",愛知県名古屋市中区錦１丁目８番６号,265,2005,,富田康幸,https://www.nds-infos.co.jp/
東建コーポレーション株式会社,1180001054828,賃貸マンション、アパート、ワンイヤー（家具家電付一年賃貸）、貸店舗等の企画、設計、施工監理ならびに仲介、管理、経営代行業,愛知県名古屋市中区丸の内２丁目１番３３号,5445,,,兼左右田善猛,http://www.token.co.jp/
マスプロ電工株式会社,1180001067276,電気機械器具製造販売,愛知県日進市浅田町上納８０番地,517,1955,,端山佳誠,http://www.maspro.co.jp/
笹徳印刷株式会社,1180001069322,,愛知県豊明市栄町大脇７番地,342,,,杉山昌樹,https://www.sasatoku.co.jp/
株式会社コモ,1180001075799,,愛知県小牧市大字村中字下之坪５０５番地の１,162,1947,,木下克己,
岩田食品株式会社,1180001082184,食料品の製造・販売,愛知県一宮市萩原町松山５６６番地の８,880,1951,,岩田晃明,
オークマ株式会社,1180001081319,工作機械の製造・販売,愛知県丹羽郡大口町下小口５丁目２５番地の１,2304,,,家城淳,http://www.okuma.co.jp/
株式会社今仙電機製作所,1180001080700,自動車部品およびその他の輸送用機械器具部品の製造販売,愛知県犬山市字柿畑１番地,1669,,,長谷川健一,http://www.imasen.co.jp/index.html
東名通信工業株式会社,1180001086061,,愛知県稲沢市天池光田町１００番地３,110,1971,,波多野佳明,
三共電機株式会社,1180001085856,,愛知県稲沢市赤池東山町１３８番地,58,1987,,三橋進,https://3kyodenki.com/actions/index_health.html
ＮＫＫスイッチズ株式会社,1020001066839,,神奈川県川崎市高津区宇奈根７１５番地１,135,,,大橋智成,
セントラル総業株式会社,1020001067993,,神奈川県川崎市中原区上小田中２丁目３番６号,538,1930,,柳田則雄,
東芝電材マーケティング株式会社,1020001063613,"照明、建築材料、住宅設備機器および、これらの関連商品の販売ならびに修理
上記に関連する電気、電気通信および空調設備設置工",神奈川県川崎市幸区堀川町７２番地３４,801,1970,,菅野哲也,http://www.tsdm.co.jp
株式会社研空社,1020001064041,建設業（空調・衛生設備工事）,神奈川県川崎市多摩区宿河原１丁目２０番１１号,59,1985,,森上敬太,http://www.kenk.jp/
秋山商事株式会社,1020001071780,総合ビル管理,神奈川県川崎市川崎区南町２０番地３,499,1963,,保田英明,
富士通株式会社,1020001071491,通信システム、情報処理システムおよび電子デバイスの製造・販売ならびにこれらに関するサービスの提供,神奈川県川崎市中原区上小田中４丁目１番１号,35924,1935,,時田隆仁,https://www.fujitsu.com/jp/
株式会社日本海洋科学,1020001077159,海事コンサルタント業,神奈川県川崎市幸区堀川町５８０番地,170,1985,,樋口久也,
ＪＦＥ東日本ジーエス株式会社,1020001072119,"○総合ビルマネジメント
○施設管理
○セキュリティサービス（常駐、巡回、機械警備）
○造園・土木工事
○緑化維持管理
○",神奈川県川崎市川崎区池上新町３丁目４番３号,990,1972,,藤井久敬,http://www.jfe-hgs.co.jp
