name,cat,role,strategy,url,robots,reachable,http,sitemap,nameLikely,companyLinks,loginWall,note
ビズリーチ・キャンパス,3-グローバル,competitor,blocked-or-login,https://br-campus.jp/,allow,yes,,no,,2,,
OfferBox,4-逆求人,competitor,blocked-or-login,https://offerbox.jp/,allow,yes,,no,,13,,
dodaキャンパス,4-逆求人,competitor,blocked-or-login,https://campus.doda.jp/,allow,yes,,no,,0,,
キミスカ,4-逆求人,competitor,blocked-or-login,https://kimisuka.com/,allow,yes,,yes,,3,,
iroots,4-逆求人,competitor,blocked-or-login,https://iroots.jp/,allow,yes,,no,,0,,
Lognavi,4-逆求人,competitor,blocked-or-login,https://lognavi.com/,allow,yes,,yes,,2,,
ABABA,4-逆求人,competitor,recruit-page-link,https://hr.ababa.co.jp/,allow,yes,,yes,,0,,
キャリアチケット就職スカウト,4-逆求人,competitor,recruit-page-link,https://careerticket.jp/,allow,yes,,no,,41,,
JOBRASS新卒,4-逆求人,competitor,recruit-page-link,https://jobrass.com/,allow,no,,?,,,,fetch failed
チアキャリア,4-逆求人,sales,recruit-page-link,https://cheercareer.jp/,allow,yes,,yes,遠藤,2,,
Matcher,4-逆求人,sales,recruit-page-link,https://matcher.jp/,allow,yes,,no,,0,,
BaseMe(旧エシカル就活),4-逆求人,competitor,blocked-or-login,https://baseme.app/,allow,yes,,yes,,5,,
JOBTV,4-逆求人,sales,recruit-page-link,https://job-tv.jp/,allow,no,,?,,,,fetch failed
ミーツカンパニー,4-逆求人,competitor,recruit-page-link,https://www.meetscompany.jp/,allow,yes,,yes,,22,,
Infraインターン,5-インターン,sales,recruit-page-link,https://www.in-fra.jp/,allow,yes,,yes,,5,,
ゼロワンインターン,5-インターン,sales,recruit-page-link,https://01intern.com/,allow,yes,,no,,2,,
キャリアバイト,5-インターン,sales,recruit-page-link,https://careerbaito.com/,allow,no,,?,,,,fetch failed
JEEK,5-インターン,sales,recruit-page-link,https://jeek.jp/,allow,yes,,no,,29,,
インターンシップガイド,5-インターン,sales,recruit-page-link,https://internshipguide.jp/,allow,yes,,yes,,1,,
ユアターン,5-インターン,sales,recruit-page-link,https://yourturn.jp/,allow,no,,?,,,,fetch failed
Renew,5-インターン,either,blocked-or-login,,,,,,,,,URL未確定(要確認)
ジョブドラフトNavi,6-高卒,sales,recruit-page-link,https://job-draft.com/,allow,yes,,yes,,0,,
ハリケンナビ,6-高卒,sales,recruit-page-link,https://www.harikennabi.jp/,allow,yes,,?,,5,,
