企業名,法人番号,採用担当者名,役職,確度,採用ページURL,根拠,取得日
石福金属興業株式会社,1010001010624,,,,https://recruit.ishifuku-kinzoku.co.jp/,,2026-07-05
株式会社大伸,1140001013449,,,,http://www.daishin-gr.co.jp/careers/,,2026-07-05
ＡＬＳＯＫ千葉株式会社,1040001008244,,,,http://www.alsok-chiso.co.jp/recruit.html,,2026-07-05
日本紙通商株式会社,1010001045983,,,,https://www.np-t.co.jp/recruit/,,2026-07-05
株式会社東洋経済新報社,1010001051874,,,,https://toyokeizai.net/list/genre/career-and-education,,2026-07-05
株式会社三橋商会,1120001090515,,,,https://www.mitsuhashi-net.co.jp/recruit.html,,2026-07-05
株式会社ＭＣエバテック,1140001048230,,,,https://www.mcet.co.jp/recruit/,,2026-07-05
千葉ビル・メンテナンス株式会社,2040001054287,,,,https://job-gear.net/chibabill/,,2026-07-05
フロンティア・マネジメント株式会社,1010001121867,,,,https://www.frontier-mgmt-recruit.com/,,2026-07-05
株式会社図研,2020001008807,,,,https://www.zuken.co.jp/recruit_info/freshers/,,2026-07-05
株式会社エス・ビー・エム,1080001009767,,,,https://shizuoka-sbm-saiyo.jp/-/top/index.html,,2026-07-05
ジェイ・アール・シー特機株式会社,2020001020489,,,,https://www.jrctokki.co.jp/jobs/career_recruitment/,,2026-07-05
ジャパンマテリアル株式会社,2190001015191,,,,https://www.jm-recruit.jp/,,2026-07-05
熊本ダイハツ販売株式会社,3330001001507,古城,採用担当,0.8,https://kumamoto.dd.daihatsu.co.jp/Company/recruit,採用担当　：　古城（ふるしろ）,2026-07-05
新常磐交通株式会社,2380001013060,,,,https://www.joko.co.jp/recruit,,2026-07-05
東濃建物管理株式会社,1200001017955,,,,https://green-clean.jp/company/recruit/,,2026-07-05
サンセイ医機株式会社,1380001009159,,,,https://www.sansei-iki.co.jp/recruit.php,,2026-07-05
キャタピラー九州株式会社,1290001079293,,,,https://www.cat-kyushu.co.jp/lp/recruit/,,2026-07-05
明星工業株式会社,1120001049032,,,,https://www.meisei-kogyo.co.jp/recruit/,,2026-07-05
大阪有機化学工業株式会社,1120001093014,,,,https://www.ooc.co.jp/recruit/,,2026-07-05
笹徳印刷株式会社,1180001069322,,,,https://sasatoku-saiyou.com/?from=sasatoku_hp,,2026-07-05
株式会社ニチダイ,2130001038818,,,,https://www.nichidai.jp/recruit/,,2026-07-05
東北特殊鋼株式会社,2370001002444,,,,https://www.tohokusteel.com/recruit/,,2026-07-05
マスプロ電工株式会社,1180001067276,,,,https://www.maspro.co.jp/recruit/,,2026-07-05
株式会社セイビ九州,1290001014110,,,,https://seibiq-saiyo.jp/-/top/index.html,,2026-07-05
ホシザキ北九株式会社,1290001016577,,,,https://www.hoshizaki-kitakyu.co.jp/careers,,2026-07-05
株式会社クリーンコーポレーション,1430001005061,,,,http://www.clean-corp.co.jp/recruit/?v=1,,2026-07-05
ミツワ電機株式会社,1010001058408,,,,https://www.mitsuwadenki-recruit.com/,,2026-07-05
東洋炭素株式会社,1120001050238,,,,https://www.toyotanso.co.jp/Recruit/,,2026-07-05
株式会社翻訳センター,1120001089458,,,,https://www.honyakuctr.com/recruit/career/,,2026-07-05
株式会社日興商会,1140001050558,,,,https://nikko.bunguclub.co.jp/recruit/,,2026-07-05
ＪＦＥ東日本ジーエス株式会社,1020001072119,,,,https://www.jfe-hgs.co.jp/recruit/,,2026-07-05
ニチコン株式会社,2130001022029,,,,http://www.nichicon.co.jp/recruit_graduates/,,2026-07-05
中国塗料株式会社,1240001028478,,,,https://www.cmp.co.jp/recruit_fresh.html,,2026-07-05
田辺薬局株式会社,1010001090468,,,,https://recruit.tnb.co.jp/,,2026-07-05
株式会社有沢製作所,1110001018789,,,,https://www.arisawa.co.jp/jp/recruit/inquiry.html,,2026-07-05
ワールドビジネスセンター株式会社,2130001012070,,,,https://www.wbc.co.jp/,,2026-07-05
株式会社共和コーポレーション,1100001000797,,,,https://kyowa-corp.saiyo-job.jp/tpkj/recruit/,,2026-07-05
昭和コンクリート工業株式会社,2200001002601,,,,https://www.instagram.com/showa_con.recruit/,,2026-07-05
環境をサポートする株式会社きらめき,1110001001720,,,,https://kirameki.co.jp/error/?e=404,,2026-07-05
株式会社ＵＬ　Ｊａｐａｎ,1190001006514,,,,https://japan.ul.com/resources/career/,,2026-07-05
株式会社扇港電機,2190001015290,,,,https://job.mynavi.jp/27/pc/search/corp73035/outline.html,,2026-07-05
タカラバイオ株式会社,1160001002490,,,,https://www.takara-bio.co.jp/ja/recruit.html,,2026-07-05
株式会社近畿予防医学研究所,2160001000535,,,,https://www.kinkiyoken.co.jp/recruit/,,2026-07-05
福島日産自動車株式会社,2380001001511,,,,https://ni-fukushima-nissan.official.career/,,2026-07-05
株式会社新来島どっく,1010001045595,,,,https://www.skdy.co.jp/recruit/,,2026-07-05
株式会社テレコムスクエア,1010001026918,,,,https://www.telecomsquare.net/recruit/,,2026-07-05
株式会社アート,1010701014775,,,,https://www.art-japan.co.jp/recruit/career,,2026-07-05
株式会社イボキン,1140001038603,,,,https://www.ibokin.co.jp/recruit/infomation/career/,,2026-07-05
株式会社ＮＴＴデータ・エム・シー・エス,1040001036848,,,,https://www.mcserve.co.jp/recruit/,,2026-07-05
ダイキンＭＲエンジニアリング株式会社,1120001133315,,,,https://www.dmre.daikin.co.jp/recruit/,,2026-07-05
札幌日信電子株式会社,2430001020233,,,,https://www.sapporo-nisshin.co.jp/recruit/,,2026-07-05
関場建設株式会社,1380001015636,坪井,採用担当,0.82,https://www.sekiba.co.jp/recruit/,採用担当の坪井です,2026-07-05
コーホク印刷株式会社,1260001002373,,,,https://www.kohhoku.co.jp/recruit_newgraduates/,,2026-07-05
株式会社イナハラ,1140001006205,,,,https://www.inahara.co.jp/recruit/,,2026-07-05
内村酸素株式会社,3330001000450,,,,https://www.uchimura-sanso.co.jp/jobs/229/,,2026-07-05
共栄株式会社,1140001007137,,,,http://www.kyoyei.com/recruit/recruit.html,,2026-07-05
株式会社エージェンシーアシスト,1130001013945,,,,https://www.agency-assist.co.jp/recruit/career-form/,,2026-07-05
船橋興産株式会社,1040001019365,,,,https://funabashikousan.co.jp/recruit/midcareer.php,,2026-07-05
株式会社クエリー,1021001019662,,,,https://www.query.jp/recruit/,,2026-07-05
グローブシップ総合管理株式会社,1010001062434,,,,https://www.gs-tm.jp/recruit/,,2026-07-05
株式会社グラファイトデザイン,1030001090714,,,,https://www.gd-inc.co.jp/recruit/,,2026-07-05
株式会社竹花組,1100001007330,,,,https://www.takehanagumi.co.jp/recruit/entry/,,2026-07-05
株式会社秀光,1020001077472,,,,https://www.shukoh.co.jp/recruit/,,2026-07-05
株式会社アスピア,1100001014038,,,,https://asupia.co.jp/recruit/,,2026-07-05
株式会社ユニオン,1200001005687,,,,https://www.theunion.co.jp/recruit/,,2026-07-05
ピコシステム株式会社,2260001005516,,,,https://www.picosystem.co.jp/recruit/,,2026-07-05
株式会社タイセークリーン,1380001005678,,,,https://taisee-clean.co.jp/recruit,,2026-07-05
三展ミネコンサルタント株式会社,1050001010315,,,,https://www.santenmine.co.jp/?page_id=673,,2026-07-05
永大化工株式会社,1120001019704,,,,https://recruit.eidaikako.co.jp/,,2026-07-05
日信防災株式会社,1010001025449,,,,https://www.nissin-b.co.jp/recruit,,2026-07-05
サンライズ・エンジニアリング株式会社,1010001123335,,,,https://sec-sunrise.co.jp/saiyou/saiyou_chuto/,,2026-07-05
株式会社アビリブ,1180001056163,,,,https://www.ab-net.co.jp/recruit,,2026-07-05
株式会社日新システムズ,2130001018398,,,,https://www.co-nss.co.jp/recruit/,,2026-07-05
大和機工株式会社,1180001092588,,,,https://www.daiwakiko.co.jp/recruit,,2026-07-05
富士テクノロジー株式会社,1080001012804,,,,https://fut.co.jp/recruit/new-graduate,,2026-07-05
東光印刷株式会社,1240001007440,,,,https://www.tokoinsatsu.co.jp/recruit.html,,2026-07-05
株式会社渡商会,2020001024960,,,,https://www.watari.co.jp/recruit,,2026-07-05
宮城日野自動車株式会社,1370001005258,,,,https://www.miyagi-hino.co.jp/recruit/index.html,,2026-07-05
株式会社オービス,1240001030054,,,,https://www.orvis.co.jp/recruit/,,2026-07-05
株式会社アサプリ,2190001013443,,,,https://www.asapri.co.jp/recruit/,,2026-07-05
住商エアロシステム株式会社,1010001020185,,,,https://www.sc-aero.co.jp/recruit/,,2026-07-05
愛媛トヨペット株式会社,1500001000807,,,,https://www.e-tp.jp/recruit_new/mid-career,,2026-07-05
愛媛トヨタ自動車株式会社,2500001000806,,,,https://www.ehime-toyota.co.jp/recruit,,2026-07-05
朝日金属株式会社,1180001011481,,,,https://www.asahi-metal.com/recruit/,,2026-07-05
株式会社つむら工芸,1120001045502,,,,https://tsumura-kogei.com/recruitwork/,,2026-07-05
株式会社チップトン,1180001014914,,,,https://www.tipton.co.jp/recruit/,,2026-07-05
株式会社リサーチアンドソリューション,1290001017278,,,,http://www.rands-co.com/recruit/,,2026-07-05
株式会社クロステック,1020001037212,,,,https://www.xtec.co.jp/recruit/requirements/student,,2026-07-05
池田煖房工業株式会社,1430001001267,,,,http://www.ikedan.co.jp/recruit/index.html,,2026-07-05
株式会社セントラルユニ,1010001103857,,,,https://corporate.central-uni.co.jp/news/20250306/,,2026-07-05
サイレックス・テクノロジー株式会社,2130001037373,,,,https://www.silex.jp/recruit,,2026-07-05
日本リック株式会社,1010001101679,,,,https://recruit.nipponrick.co.jp/,,2026-07-05
三機テクノサポート株式会社,1010001116842,,,,https://www.sanki.co.jp/sts/recruit/entry/,,2026-07-05
株式会社奥井組,2030001026824,,,,https://okuigumi.co.jp/saiyo-career,,2026-07-05
株式会社ケアコネクトジャパン,1080001006310,,,,https://www.carekarte.jp/recruit/,,2026-07-05
株式会社スズキ自販滋賀,1160001001088,,,,https://www.suzuki.co.jp/dealer/sj-shiga/recruit/career-guideline/,,2026-07-05
古川電気工業株式会社,1370001006009,,,,https://furukawa-denki.com/recruit/,,2026-07-05
中央紙器工業株式会社,1180001045224,,,,http://www.mcpack.co.jp/recruit/mid_career/,,2026-07-05
株式会社スズキ自販松山,1500001002274,,,,https://www.suzuki.co.jp/dealer/sj-matsuyama/recruit/,,2026-07-05
株式会社オカムラ,2330001012686,,,,https://okamura-tmc.co.jp/recruit/,,2026-07-05
横浜植木株式会社,1020001013956,,,,https://www.yokohamaueki.co.jp/recruit/114/,,2026-07-05
株式会社Ｄｅｆ　ｔｒｉｂｅ,1120001176149,,,,https://www.e-deftribe.com/recruit/,,2026-07-05
株式会社テクアノーツ,1120901030611,小田,人事部,0.7,https://www.tequanauts.co.jp/career/,採用担当 小田・舟木,2026-07-05
東邦化工建設株式会社,1080101006409,,,,https://www.t-cec.co.jp/recruit/,,2026-07-05
仙台ガスサービス株式会社,1370001006710,,,,https://www.sgs-jp.net/recruit,,2026-07-05
株式会社ユーメディア,1370001004227,,,,https://www.u-media.jp/media/magazine_recruit,,2026-07-05
キノンビクス株式会社,2160001013322,,,,https://www.kinon.co.jp/recruit/saiyou-contact.shtml,,2026-07-05
株式会社協同,1210001007526,,,,https://www.kwl.co.jp/recruit.html,,2026-07-05
阪神内燃機工業株式会社,1140001010149,,,,https://www.hanshin-dw.co.jp/recruit/,,2026-07-05
東洋システム株式会社,2380001013457,,,,https://toyo-system.co.jp/recruit/career/,,2026-07-05
勝田環境株式会社,1050001006676,,,,https://www.katsukan.com/recruit/,,2026-07-05
イオンコンパス株式会社,2040001008549,,,,https://www.aeoncompass.co.jp/recruit/,,2026-07-05
ＮＤＳインフォス株式会社,1180001056171,,,,https://www.nds-infos.co.jp/recruit/,,2026-07-05
株式会社三協技術,1370001005118,佐々木,新卒採用,0.7,https://sankyocc.jp/recruit/graduates1.html,"新卒採用担当
 佐々木・粟津",2026-07-05
山陽電研株式会社,2260001002678,,,,https://www.sanyodenken.co.jp/recruit/entrydata/index.html,,2026-07-05
ＯＥＣ株式会社,2260001001143,,,,https://www.oec-o.co.jp/data/recruit_newgrad/,,2026-07-05
Ｂｉｔｃｏｉｎ　Ｊａｐａｎ株式会社,1010001034953,,,,https://www.hotta-marusho.co.jp/recruit/,,2026-07-05
株式会社福島情報処理センター,1380001006486,,,,https://fic.co.jp/recruitment/,,2026-07-05
名古屋酸素株式会社,1180001007067,,,,https://nagoya-sanso.co.jp/recruit/,,2026-07-05
株式会社双葉工業社,1430001015201,,,,http://www.k-futaba.co.jp/recu.html,,2026-07-05
第一電子株式会社,1140001004992,,,,https://www.ddk.ne.jp/recruit/,,2026-07-05
東京貿易テクノシステム株式会社,1010001061642,,,,https://www.tbts.co.jp/recruit/,,2026-07-05
株式会社サンコー,2430001019011,,,,https://www.sancoh.co.jp/category/data_entry,,2026-07-05
光和管財株式会社,1140001007599,,,,https://kowa-kanzai-recruit.jp/,,2026-07-05
株式会社トーホーエンジニアリング,1430002034968,,,,https://toho-engineering.saiyo-joho.com/,,2026-07-05
株式会社丹新ビルサービス,2130001041160,,,,https://tanshin-bs.co.jp/recruit/,,2026-07-05
札建工業株式会社,2430001006736,,,,https://www.sakkenkogyo.jp/pages/1000058/,,2026-07-05
株式会社三明,1080001008018,,,,https://recruit.sanmei.co.jp/,,2026-07-05
富士共同物流株式会社,2030001010670,,,,https://www.fkb.co.jp/recruit/,,2026-07-05
株式会社ディスカバリー,1120001194092,,,,https://recruitment.discovery-inc.com/,,2026-07-05
カガク興商株式会社,1370301000322,,,,http://www.kagaku-k.co.jp/recruit.html,,2026-07-05
カーツ株式会社,1260001009187,,,,https://www.kaaz.co.jp/recruit.html,,2026-07-05
白鷺電気工業株式会社,1330001002440,,,,https://www.shirasagidenki.co.jp/,,2026-07-05
ツバメ工業株式会社,2500001014715,,,,https://www.8441.jp/recruit/entry,,2026-07-05
株式会社プロシップ,1010001073852,,,,https://www.proship.co.jp/contact/form-recruit/,,2026-07-05
横浜高速鉄道株式会社,1020001029440,,,,https://www.mm21railway.co.jp/info/corpo/employment.html,,2026-07-05
平和不動産株式会社,1010001034920,,,,https://www.heiwa-net.co.jp/recruit/shinsotsu/,,2026-07-05
株式会社カンサイ,1290001012221,,,,https://kansaihd.co.jp/recruit-top/,,2026-07-05
中外商工株式会社,1120001045403,,,,https://www.chugai-af.co.jp/,,2026-07-05
福博綜合印刷株式会社,1290001016263,,,,https://www.fsp.co.jp/career.php,,2026-07-05
株式会社橋本川島コーポレーション,1450001002437,,,,https://hkcorp.co.jp/,,2026-07-05
札商美装興業株式会社,1430001006811,,,,https://jp.indeed.com/q-%E6%9C%AD%E5%95%86%E7%BE%8E%E8%A3%85%E8%88%88%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-%E6%B1%82%E4%BA%BA.html?vjk=c811201b2cfca240,,2026-07-05
日本乾溜工業株式会社,1290001028382,,,,https://www.kanryu.co.jp/recruit/,,2026-07-05
株式会社松本鉄工所,1430001053845,,,,https://www.matsumoto-tekkosho.co.jp/recruit/,,2026-07-05
株式会社パレスエンタープライズ,1030001006950,,,,https://www.palace-omiya.co.jp/company/recruit.html,,2026-07-05
株式会社廣瀬商会,1010001054927,,,,https://www.hiroseshokai.co.jp/recruit/index.html,,2026-07-05
株式会社アウルズ,1290801000094,,,,https://www.owlsone.co.jp/careers/,,2026-07-05
株式会社平川燃料,1290001054387,,,,https://www.hirakawa-1147.jp/recruit/,,2026-07-05
株式会社日本旅行北海道,2430001021116,,,,https://www.nta.co.jp/hokkaido/company/recruit/kojin.htm,,2026-07-05
株式会社コノエ,1120001079491,,,,https://www.konoe.co.jp/recruit/,,2026-07-05
東日本メディコム株式会社,1030001087058,,,,https://www.e-medicom.co.jp/recruit/,,2026-07-05
株式会社イマギイレ,2030001000820,,,,https://www.imagiire.co.jp/employ/,,2026-07-05
ＥＮＥＯＳグローブ株式会社,1010001090889,,,,https://www.eneos-globe.co.jp/news/2026/05/post-307.html,,2026-07-05
Ｘｓｐｅａｒ　Ｃｏｎｓｕｌｔｉｎｇ株式会社,1010001103304,,,,https://recruit.simplex.holdings/,,2026-07-05
常石三保造船株式会社,1080001009214,,,,https://www.tsuneishi.co.jp/miho/recruit/,,2026-07-05
株式会社サンユウ,1120001149666,,,,https://www.sanyu-cfs.co.jp/recruit/,,2026-07-05
日軽産業株式会社,1080001008876,,,,https://www.nikkeisangyo.co.jp/recruit/,,2026-07-05
株式会社大谷商会,1110001000879,,,,https://www.otani-shokai.com/recruit/,,2026-07-05
積水ハウスシャーメゾンＰＭ東北株式会社,1370001011272,,,,https://www.sekisuihouse-f-tohoku.co.jp/recruit/,,2026-07-05
綜合エナジー株式会社,1240001005634,,,,https://sougouenergy.jp/company/recruit/,,2026-07-05
株式会社キタック,2110001001637,,,,https://kitac.co.jp/recruit/,,2026-07-05
株式会社水野鉄工所,1200001005217,,,,https://www.miztec.jp/recruit,,2026-07-05
篠田株式会社,1200001011090,,,,https://recruit.gifu-shinoda.co.jp/,,2026-07-05
株式会社建美装社,1260001002282,,,,https://recruit-kenbisosha.com/,,2026-07-05
中国精油株式会社,1260001004262,,,,https://www.chusei-oil.com/recruit/entry/,,2026-07-05
株式会社日本ビル管理,2330001003529,,,,http://nbkanri.co.jp/lp/recruit/,,2026-07-05
株式会社アグサス,1500001003735,,,,https://www.agusas.co.jp/recruit/careers/,,2026-07-05
株式会社前田産業,2330001004304,,,,https://maedasangyo.co.jp/recruit/,,2026-07-05
株式会社ユーケイデンタル,3330001004773,,,,http://www.ukdental.co.jp/recruit,,2026-07-05
株式会社ビルマネージメント,1290001025818,,,,http://www.buil-manage.com/recruit-hotel,,2026-07-05
株式会社くまもと健康支援研究所,1330001007381,,,,http://www.kwsi.co.jp/recruit/,,2026-07-05
株式会社山陽セフティ,1260001002654,,,,https://www.facebook.com/sanyosafety,,2026-07-05
阪神園芸株式会社,1140001070003,,,,https://www.hanshinengei.co.jp/recruit,,2026-07-05
アインズ株式会社,2160001010617,,,,https://www.shiga-web.or.jp/eins/recruit/,,2026-07-05
株式会社ビック,2380001017771,安部 真理子,人事担当,0.7,https://www.bicc.jp/recruit/,人事担当安部真理子,2026-07-05
因幡電機産業株式会社,1120001041352,,,,https://www.inaba.co.jp/recruit/gradu/,,2026-07-05
株式会社一六堂,1010001065395,,,,https://www.ichirokudo.com/recruit,,2026-07-05
ＳＧシステム株式会社,2130001010677,,,,https://www.sg-systems.co.jp/recruit/,,2026-07-05
株式会社アペックス,1180001092373,,,,https://www.apex-co.co.jp/recruit/mid_career.html,,2026-07-05
積水化学工業株式会社,1120001059650,,,,https://www.sekisui.co.jp/person/,,2026-07-05
レンゴー株式会社,1120001036880,,,,https://www.rengo.co.jp/recruit/top/,,2026-07-05
株式会社ニッスイ,1010001016860,,,,https://www.nissui.co.jp/recruit/index.html,,2026-07-05
株式会社スズケン,1180001017009,,,,http://www.suzuken.co.jp/recruit/fresh/,,2026-07-05
敷島製パン株式会社,1180001016877,,,,https://www.pasconet.co.jp/saiyo/,,2026-07-05
西川株式会社,1010001053631,,,,https://www.nishikawa1566.com/company/recruit/,,2026-07-05
川崎重工業株式会社,1140001005719,,,,https://www.khi-saiyo.jp/,,2026-07-05
株式会社ＥＶＥＲＹＦＯＯＤ,1180001001037,,,,https://everygroup.co.jp/ef/recruit,,2026-07-05
