企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社バンダイ,,42.5,0,JOB_DOWN,1,,,,○,2026-06-18T23:36:18.438Z,2026-06-21T09:04:33.402Z,2026-06-21
森永製菓株式会社,,42.5,0,JOB_DOWN,1,,,,○,2026-06-18T23:36:18.438Z,2026-06-21T09:04:33.402Z,2026-06-21
日本航空株式会社,,42.5,0,JOB_DOWN,1,,,,○,2026-06-18T23:36:18.438Z,2026-06-21T09:04:33.402Z,2026-06-21
株式会社ロッテ,,42.5,0,JOB_DOWN,1,,,,○,2026-06-18T23:36:18.438Z,2026-06-21T09:04:33.402Z,2026-06-21
アサヒグループジャパン株式会社,,42.5,0,JOB_DOWN,1,,,,○,2026-06-18T23:36:18.438Z,2026-06-21T09:04:33.402Z,2026-06-21
